,country,cm_name,year,price,wheat_p,gdp,pop,wheat_af,rice_p,rice_af,meat_p,meat_af,orange_p,orange_af
3088,Colombia,Wheat flour - Wholesale,2006,0.28,26399.0,3741.0927734375,42772912.0,4.619321725415435e-05,,,,,,
3089,Colombia,Wheat flour - Wholesale,2006,0.3,26399.0,3741.0927734375,42772912.0,4.9492732772308225e-05,,,,,,
3090,Colombia,Wheat flour - Wholesale,2006,0.31,26399.0,3741.0927734375,42772912.0,5.1142490531385164e-05,,,,,,
3091,Colombia,Wheat flour - Wholesale,2006,0.32,26399.0,3741.0927734375,42772912.0,5.27922482904621e-05,,,,,,
3092,Colombia,Wheat flour - Wholesale,2006,0.33,26399.0,3741.0927734375,42772912.0,5.4442006049539055e-05,,,,,,
3093,Colombia,Wheat flour - Wholesale,2006,0.34,26399.0,3741.0927734375,42772912.0,5.609176380861599e-05,,,,,,
3094,Colombia,Wheat flour - Wholesale,2006,0.35,26399.0,3741.0927734375,42772912.0,5.7741521567692926e-05,,,,,,
3095,Colombia,Wheat flour - Wholesale,2006,0.37,26399.0,3741.0927734375,42772912.0,6.104103708584682e-05,,,,,,
3096,Colombia,Wheat flour - Wholesale,2007,0.19,36778.0,4714.0732421875,43306592.0,3.4228776462807175e-05,,,,,,
3097,Colombia,Wheat flour - Wholesale,2007,0.2,36778.0,4714.0732421875,43306592.0,3.603029101348124e-05,,,,,,
3098,Colombia,Wheat flour - Wholesale,2007,0.23,36778.0,4714.0732421875,43306592.0,4.1434834665503424e-05,,,,,,
3099,Colombia,Wheat flour - Wholesale,2007,0.24,36778.0,4714.0732421875,43306592.0,4.3236349216177484e-05,,,,,,
3100,Colombia,Wheat flour - Wholesale,2007,0.25,36778.0,4714.0732421875,43306592.0,4.5037863766851545e-05,,,,,,
3101,Colombia,Wheat flour - Wholesale,2007,0.26,36778.0,4714.0732421875,43306592.0,4.6839378317525605e-05,,,,,,
3102,Colombia,Wheat flour - Wholesale,2007,0.27,36778.0,4714.0732421875,43306592.0,4.864089286819968e-05,,,,,,
3103,Colombia,Wheat flour - Wholesale,2007,0.28,36778.0,4714.0732421875,43306592.0,5.044240741887374e-05,,,,,,
3104,Colombia,Wheat flour - Wholesale,2007,0.29,36778.0,4714.0732421875,43306592.0,5.22439219695478e-05,,,,,,
